industry_code	industry_name
424900	Miscellaneous Nondurable Goods Merchant Wholesalers
425000	Wholesale Electronic Markets and Agents and Brokers
425100	Wholesale Electronic Markets and Agents and Brokers
44--46	Sectors 44 and 45 - Retail Trade
441000	Motor Vehicle and Parts Dealers
441100	Automobile Dealers
441200	Other Motor Vehicle Dealers
441300	Automotive Parts, Accessories, and Tire Stores
442000	Furniture and Home Furnishings Stores
442100	Furniture Stores
442200	Home Furnishings Stores
443000	Electronics and Appliance Stores
443100	Electronics and Appliance Stores
444000	Building Material and Garden Equipment and Supplies Dealers
444100	Building Material and Supplies Dealers
444200	Lawn and Garden Equipment and Supplies Stores
445000	Food and Beverage Stores
445100	Grocery Stores
445200	Specialty Food Stores
445300	Beer, Wine, and Liquor Stores
446000	Health and Personal Care Stores
446100	Health and Personal Care Stores
446110	Pharmacies and Drug Stores
447000	Gasoline Stations
447100	Gasoline Stations
448000	Clothing and Clothing Accessories Stores
448100	Clothing Stores
448200	Shoe Stores
448300	Jewelry, Luggage, and Leather Goods Stores
451000	Sporting Goods, Hobby, Musical Instrument, and Book Stores
451100	Sporting Goods, Hobby, and Musical Instrument Stores
451110	Sporting Goods Stores
451200	Book Stores and News Dealers
452000	General Merchandise Stores
452100	Department Stores
452900	Other General Merchandise Stores
453000	Miscellaneous Store Retailers
453100	Florists
453200	Office Supplies, Stationery, and Gift Stores
453300	Used Merchandise Stores
453900	Other Miscellaneous Store Retailers
454000	Nonstore Retailers
454100	Electronic Shopping and Mail-Order Houses
454200	Vending Machine Operators
454300	Direct Selling Establishments
48--50	Sectors 48 and 49 - Transportation and Warehousing
481000	Air Transportation
481100	Scheduled Air Transportation
481200	Nonscheduled Air Transportation
482000	Rail Transportation
482100	Rail Transportation
483000	Water Transportation
483100	Deep Sea, Coastal, and Great Lakes Water Transportation
483200	Inland Water Transportation
484000	Truck Transportation
484100	General Freight Trucking
484200	Specialized Freight Trucking
485000	Transit and Ground Passenger Transportation
485100	Urban Transit Systems
485200	Interurban and Rural Bus Transportation
485300	Taxi and Limousine Service
485400	School and Employee Bus Transportation
485500	Charter Bus Industry
485900	Other Transit and Ground Passenger Transportation
486000	Pipeline Transportation
486100	Pipeline Transportation of Crude Oil
486200	Pipeline Transportation of Natural Gas
486900	Other Pipeline Transportation
487000	Scenic and Sightseeing Transportation
487100	Scenic and Sightseeing Transportation, Land
487200	Scenic and Sightseeing Transportation, Water
487900	Scenic and Sightseeing Transportation, Other
488000	Support Activities for Transportation
488100	Support Activities for Air Transportation
488200	Support Activities for Rail Transportation
488300	Support Activities for Water Transportation
488400	Support Activities for Road Transportation
488500	Freight Transportation Arrangement
488900	Other Support Activities for Transportation
491000	Postal Service (federal government
491100	Postal Service (federal government
492000	Couriers and Messengers
492100	Couriers and Express Delivery Services
492200	Local Messengers and Local Delivery
493000	Warehousing and Storage
493100	Warehousing and Storage
51--52	Sector 51 - Information
511000	Publishing Industries (except Internet
511100	Newspaper, Periodical, Book, and Directory Publishers
511110	Newspaper Publishers
511200	Software Publishers
512000	Motion Picture and Sound Recording Industries
512100	Motion Picture and Video Industries
512130	Motion Picture and Video Exhibition
512200	Sound Recording Industries
515000	Broadcasting (except Internet
515100	Radio and Television Broadcasting
515110	Radio Broadcasting
515120	Television Broadcasting
515200	Cable and Other Subscription Programming
517000	Telecommunications
517100	Wired Telecommunications Carriers
517200	Wireless Telecommunications Carriers (except Satellite
517400	Satellite Telecommunications
517900	Other Telecommunications
518000	Data Processing, Hosting, and Related Services
518200	Data Processing, Hosting, and Related Services
519000	Other Information Services
519100	Other Information Services
52--53	Sector 52 - Finance and Insurance
521000	Monetary Authorities-Central Bank
521100	Monetary Authorities-Central Bank
522000	Credit Intermediation and Related Activities
522100	Depository Credit Intermediation
522200	Nondepository Credit Intermediation
522290	Other Nondepository Credit Intermediation
522300	Activities Related to Credit Intermediation
523000	Securities, Commodity Contracts, and Other Financial Investments and Related Activities
523100	Securities and Commodity Contracts Intermediation and Brokerage
523200	Securities and Commodity Exchanges
523900	Other Financial Investment Activities
524000	Insurance Carriers and Related Activities
524100	Insurance Carriers
524114	Direct Health and Medical Insurance Carriers
524120	Direct Insurance (except Life, Health, and Medical) Carriers
524200	Agencies, Brokerages, and Other Insurance Related Activities
524210	Insurance Agencies and Brokerages
524290	Other Insurance Related Activities
525000	Funds, Trusts, and Other Financial Vehicles
525100	Insurance and Employee Benefit Funds
525900	Other Investment Pools and Funds
53--54	Sector 53 - Real Estate and Rental and Leasing
531000	Real Estate
531100	Lessors of Real Estate
531200	Offices of Real Estate Agents and Brokers
531300	Activities Related to Real Estate
532000	Rental and Leasing Services
532100	Automotive Equipment Rental and Leasing
532200	Consumer Goods Rental
532300	General Rental Centers
532400	Commercial and Industrial Machinery and Equipment Rental and Leasing
533000	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works
533100	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works
54--55	Sector 54 - Professional, Scientific, and Technical Services
541000	Professional, Scientific, and Technical Services
541100	Legal Services
541200	Accounting, Tax Preparation, Bookkeeping, and Payroll Services
541300	Architectural, Engineering, and Related Services
541330	Engineering Services
541380	Testing Laboratories
541400	Specialized Design Services
541500	Computer Systems Design and Related Services
541600	Management, Scientific, and Technical Consulting Services
541700	Scientific Research and Development Services
541710	Research and Development in the Physical, Engineering, and Life Sciences
541720	Research and Development in the Social Sciences and Humanities
541800	Advertising, Public Relations, and Related Services
541900	Other Professional, Scientific, and Technical Services
541920	Photographic Services
541940	Veterinary Services
55--56	Sector 55 - Management of Companies and Enterprises
551000	Management of Companies and Enterprises
551100	Management of Companies and Enterprises
56--57	Sector 56- Administrative and Support and Waste Management and Remediation Services
561000	Administrative and Support Services
561100	Office Administrative Services
561200	Facilities Support Services
561300	Employment Services
561320	Temporary Help Services
561400	Business Support Services
561420	Telephone Call Centers
561500	Travel Arrangement and Reservation Services
561510	Travel Agencies
561600	Investigation and Security Services
561610	Investigation, Guard, and Armored Car Services
561620	Security Systems Services
561700	Services to Buildings and Dwellings
561710	Exterminating and Pest Control Services
561730	Landscaping Services
561900	Other Support Services
562000	Waste Management and Remediation Services
562100	Waste Collection
562200	Waste Treatment and Disposal
562900	Remediation and Other Waste Management Services
61--62	Sector 61 - Educational Services
611000	Educational Services
611002	Educational Services - State government owned
611003	Educational Services - Local government owned
611005	Educational Services - Privately owned
611100	Elementary and Secondary Schools
611102	Elementary and Secondary Schools - State government owned
611103	Elementary and Secondary Schools - Local government owned
611105	Elementary and Secondary Schools - Privately owned
611200	Junior Colleges (including private, state, and local government schools
611202	Junior colleges - State government owned
611203	Junior colleges - Local government owned
611205	Junior colleges - Privately owned
611300	Colleges, Universities, and Professional Schools
611302	Colleges, universities, and professional schools - State government owned
611303	Colleges, universities, and professional schools - Local government owned
611305	Colleges, universities, and professional schools - Privately owned
611400	Business Schools and Computer and Management Training
611405	Business schools and computer and management training - Privately owned
611500	Technical and Trade Schools
611502	Technical and trade schools - State government owned
611503	Technical and trade schools - Local government owned
611505	Technical and trade schools - Privately owned
611600	Other Schools and Instruction
611603	Other schools and instruction - Local government owned
611605	Other schools and instruction - Privately owned
611700	Educational Support Services
611703	Educational Support Services - Local government owned
611705	Educational Support Services - Privately owned
62--63	Sector 62 - Health Care and Social Assistance
621000	Ambulatory Health Care Services
621100	Offices of Physicians
621200	Offices of Dentists
621300	Offices of Other Health Practitioners
621310	Offices of Chiropractors
621320	Offices of Optometrists
621330	Offices of Mental Health Practitioners (except Physicians
621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists
621390	Offices of All Other Health Practitioners
621400	Outpatient Care Centers
621420	Outpatient Mental Health and Substance Abuse Centers
621500	Medical and Diagnostic Laboratories
621600	Home Health Care Services
621900	Other Ambulatory Health Care Services
621910	Ambulance Services
621990	All Other Ambulatory Health Care Services
622000	Hospitals (including private, state, and local government hospitals
622002	Hospitals - State government owned
622003	Hospitals - Local government owned
622005	Hospitals - Privately owned
622100	General Medical and Surgical Hospitals
622102	General Medical and Surgical Hospitals - State government owned
622103	General Medical and Surgical Hospitals - Local government owned
622105	General Medical and Surgical Hospitals - Privately owned
622200	Psychiatric and Substance Abuse Hospitals
622202	Psychiatric and Substance Abuse Hospitals - State government owned
622205	Psychiatric and Substance Abuse Hospitals - Privately owned
622300	Specialty (except Psychiatric and Substance Abuse) Hospitals
622302	Specialty hospitals - State government owned
622305	Specialty hospitals - Privately owned
623000	Nursing and Residential Care Facilities
623100	Nursing Care Facilities (Skilled Nursing Facilities
623200	Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilitie
623210	Residential Intellectual and Developmental Disability Facilities
623220	Residential Mental Health and Substance Abuse Facilities
623300	Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly
623900	Other Residential Care Facilities
624000	Social Assistance
624100	Individual and Family Services
624120	Services for the Elderly and Persons with Disabilities
624200	Community Food and Housing, and Emergency and Other Relief Services
624300	Vocational Rehabilitation Services
624400	Child Day Care Services
71--72	Sector 71 - Arts, Entertainment, and Recreation
711000	Performing Arts, Spectator Sports, and Related Industries
711100	Performing Arts Companies
711110	Theater Companies and Dinner Theaters
711200	Spectator Sports
711300	Promoters of Performing Arts, Sports, and Similar Events
711400	Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures
711500	Independent Artists, Writers, and Performers
712000	Museums, Historical Sites, and Similar Institutions
712100	Museums, Historical Sites, and Similar Institutions
713000	Amusement, Gambling, and Recreation Industries
713100	Amusement Parks and Arcades
713200	Gambling Industries
713900	Other Amusement and Recreation Industries
713940	Fitness and Recreational Sports Centers
72--73	Sector 72 - Accommodation and Food Services
721000	Accommodation
721100	Traveler Accommodation
721120	Casino Hotels
721200	RV (Recreational Vehicle) Parks and Recreational Camps
721300	Rooming and Boarding Houses
722000	Food Services and Drinking Places
722300	Special Food Services
722400	Drinking Places (Alcoholic Beverages
722500	Restaurants and Other Eating Places
722511	Full-Service Restaurants
81--82	Sector 81 - Other Services (except Federal, State, and Local Government
811000	Repair and Maintenance
811100	Automotive Repair and Maintenance
811110	Automotive Mechanical and Electrical Repair and Maintenance
811120	Automotive Body, Paint, Interior, and Glass Repair
811190	Other Automotive Repair and Maintenance
811200	Electronic and Precision Equipment Repair and Maintenance
811300	Commercial and Industrial Machinery Equipment (except Auto and Electronic) Repair and Maintenance
811400	Personal and Household Goods Repair and Maintenance
812000	Personal and Laundry Services
812100	Personal Care Services
812200	Death Care Services
812300	Drycleaning and Laundry Services
812900	Other Personal Services
813000	Religious, Grantmaking, Civic, Professional, and Similar Organizations
813100	Religious Organizations
813200	Grantmaking and Giving Services
813300	Social Advocacy Organizations
813400	Civic and Social Organizations
813900	Business, Professional, Labor, Political, and Similar Organizations
813930	Labor Unions and Similar Labor Organizations
99-100	Sector 99 - Federal, State, and Local Government (OES Designation
999000	Federal, State, and Local Government (OES Designation
999001	Federal, State, and Local Government, including government owned schools and hospitals
999100	Federal Executive Branch (OES Designation
999101	Federal government, including USPS
999200	State Government, excluding schools and hospitals (OES Designation
999201	State Government, including schools and hospitals
999300	Local Government, excluding schools and hospitals (OES Designation
999301	Local Government, including schools and hospitals
