occupation_code	occupation_name
192021	Atmospheric and Space Scientists	
192030	Chemists and Materials Scientists	
192031	Chemists	
192032	Materials Scientists	
192040	Environmental Scientists and Geoscientists	
192041	Environmental Scientists and Specialists, Including Health	
192042	Geoscientists, Except Hydrologists and Geographers	
192043	Hydrologists	
192099	Physical Scientists, All Other	
193000	Social Scientists and Related Workers	
193011	Economists	
193022	Survey Researchers	
193030	Psychologists	
193031	Clinical, Counseling, and School Psychologists	
193032	Industrial-Organizational Psychologists	
193039	Psychologists, All Other	
193041	Sociologists	
193051	Urban and Regional Planners	
193090	Miscellaneous Social Scientists and Related Workers	
193091	Anthropologists and Archeologists	
193092	Geographers	
193093	Historians	
193094	Political Scientists	
193099	Social Scientists and Related Workers, All Other	
194000	Life, Physical, and Social Science Technicians	
194011	Agricultural and Food Science Technicians	
194021	Biological Technicians	
194031	Chemical Technicians	
194041	Geological and Petroleum Technicians	
194051	Nuclear Technicians	
194061	Social Science Research Assistants	
194090	Miscellaneous Life, Physical, and Social Science Technicians	
194091	Environmental Science and Protection Technicians, Including Health	
194092	Forensic Science Technicians	
194093	Forest and Conservation Technicians	
194099	Life, Physical, and Social Science Technicians, All Other	
210000	Community and Social Service Occupations	
211000	Counselors, Social Workers, and Other Community and Social Service Specialists	
211010	Counselors	
211011	Substance Abuse and Behavioral Disorder Counselors	
211012	Educational, Guidance, School, and Vocational Counselors	
211013	Marriage and Family Therapists	
211014	Mental Health Counselors	
211015	Rehabilitation Counselors	
211019	Counselors, All Other	
211020	Social Workers	
211021	Child, Family, and School Social Workers	
211022	Healthcare Social Workers	
211023	Mental Health and Substance Abuse Social Workers	
211029	Social Workers, All Other	
211090	Miscellaneous Community and Social Service Specialists	
211091	Health Educators	
211092	Probation Officers and Correctional Treatment Specialists	
211093	Social and Human Service Assistants	
211094	Community Health Workers	
211099	Community and Social Service Specialists, All Other	
212000	Religious Workers	
212011	Clergy	
212021	Directors, Religious Activities and Education	
212099	Religious Workers, All Other	
230000	Legal Occupations	
231000	Lawyers, Judges, and Related Workers	
231010	Lawyers and Judicial Law Clerks	
231011	Lawyers	
231012	Judicial Law Clerks	
231020	Judges, Magistrates, and Other Judicial Workers	
231021	Administrative Law Judges, Adjudicators, and Hearing Officers	
231022	Arbitrators, Mediators, and Conciliators	
231023	Judges, Magistrate Judges, and Magistrates	
232000	Legal Support Workers	
232011	Paralegals and Legal Assistants	
232090	Miscellaneous Legal Support Workers	
232091	Court Reporters	
232093	Title Examiners, Abstractors, and Searchers	
232099	Legal Support Workers, All Other	
250000	Education, Training, and Library Occupations	
251000	Postsecondary Teachers	
251011	Business Teachers, Postsecondary	
251020	Math and Computer Teachers, Postsecondary	
251021	Computer Science Teachers, Postsecondary	
251022	Mathematical Science Teachers, Postsecondary	
251030	Engineering and Architecture Teachers, Postsecondary	
251031	Architecture Teachers, Postsecondary	
251032	Engineering Teachers, Postsecondary	
251040	Life Sciences Teachers, Postsecondary	
251041	Agricultural Sciences Teachers, Postsecondary	
251042	Biological Science Teachers, Postsecondary	
251043	Forestry and Conservation Science Teachers, Postsecondary	
251050	Physical Sciences Teachers, Postsecondary	
251051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	
251052	Chemistry Teachers, Postsecondary	
251053	Environmental Science Teachers, Postsecondary	
251054	Physics Teachers, Postsecondary	
251060	Social Sciences Teachers, Postsecondary	
251061	Anthropology and Archeology Teachers, Postsecondary	
251062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	
251063	Economics Teachers, Postsecondary	
251064	Geography Teachers, Postsecondary	
251065	Political Science Teachers, Postsecondary	
251066	Psychology Teachers, Postsecondary	
251067	Sociology Teachers, Postsecondary	
251069	Social Sciences Teachers, Postsecondary, All Other	
251070	Health Teachers, Postsecondary	
251071	Health Specialties Teachers, Postsecondary	
251072	Nursing Instructors and Teachers, Postsecondary	
251080	Education and Library Science Teachers, Postsecondary	
251081	Education Teachers, Postsecondary	
251082	Library Science Teachers, Postsecondary	
251110	Law, Criminal Justice, and Social Work Teachers, Postsecondary	
251111	Criminal Justice and Law Enforcement Teachers, Postsecondary	
251112	Law Teachers, Postsecondary	
251113	Social Work Teachers, Postsecondary	
251120	Arts, Communications, and Humanities Teachers, Postsecondary	
251121	Art, Drama, and Music Teachers, Postsecondary	
251122	Communications Teachers, Postsecondary	
251123	English Language and Literature Teachers, Postsecondary	
251124	Foreign Language and Literature Teachers, Postsecondary	
251125	History Teachers, Postsecondary	
251126	Philosophy and Religion Teachers, Postsecondary	
251190	Miscellaneous Postsecondary Teachers	
251191	Graduate Teaching Assistants	
251192	Home Economics Teachers, Postsecondary	
251193	Recreation and Fitness Studies Teachers, Postsecondary	
251194	Vocational Education Teachers, Postsecondary	
251199	Postsecondary Teachers, All Other	
252000	Preschool, Primary, Secondary, and Special Education School Teachers	
252010	Preschool and Kindergarten Teachers	
252011	Preschool Teachers, Except Special Education	
252012	Kindergarten Teachers, Except Special Education	
252020	Elementary and Middle School Teachers	
252021	Elementary School Teachers, Except Special Education	
252022	Middle School Teachers, Except Special and Career/Technical Education	
252023	Career/Technical Education Teachers, Middle School	
252030	Secondary School Teachers	
252031	Secondary School Teachers, Except Special and Career/Technical Education	
252032	Career/Technical Education Teachers, Secondary School	
252050	Special Education Teachers	
252051	Special Education Teachers, Preschool	
252052	Special Education Teachers, Kindergarten and Elementary School	
252053	Special Education Teachers, Middle School	
252054	Special Education Teachers, Secondary School	
252059	Special Education Teachers, All Other	
253000	Other Teachers and Instructors	
253011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	
253021	Self-Enrichment Education Teachers	
253090	Miscellaneous Teachers and Instructors	
253097	Teachers and Instructors, All Other, Except Substitute Teachers	
253098	Substitute Teachers	
254000	Librarians, Curators, and Archivists	
254010	Archivists, Curators, and Museum Technicians	
254011	Archivists	
254012	Curators	
254013	Museum Technicians and Conservators	
254021	Librarians	
254031	Library Technicians	
259000	Other Education, Training, and Library Occupations	
259011	Audio-Visual and Multimedia Collections Specialists	
259021	Farm and Home Management Advisors	
259031	Instructional Coordinators	
259041	Teacher Assistants	
259099	Education, Training, and Library Workers, All Other	
270000	Arts, Design, Entertainment, Sports, and Media Occupations	
271000	Art and Design Workers	
271010	Artists and Related Workers	
271011	Art Directors	
271012	Craft Artists	
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	
271014	Multimedia Artists and Animators	
271019	Artists and Related Workers, All Other	
271020	Designers	
271021	Commercial and Industrial Designers	
271022	Fashion Designers	
271023	Floral Designers	
271024	Graphic Designers	
271025	Interior Designers	
271026	Merchandise Displayers and Window Trimmers	
271027	Set and Exhibit Designers	
271029	Designers, All Other	
272000	Entertainers and Performers, Sports and Related Workers	
272010	Actors, Producers, and Directors	
272011	Actors	
272012	Producers and Directors	
272020	Athletes, Coaches, Umpires, and Related Workers	
272021	Athletes and Sports Competitors	
272022	Coaches and Scouts	
272023	Umpires, Referees, and Other Sports Officials	
272030	Dancers and Choreographers	
272031	Dancers	
272032	Choreographers	
272040	Musicians, Singers, and Related Workers	
272041	Music Directors and Composers	
272042	Musicians and Singers	
272099	Entertainers and Performers, Sports and Related Workers, All Other	
273000	Media and Communication Workers	
273010	Announcers	
273011	Radio and Television Announcers	
273012	Public Address System and Other Announcers	
273020	News Analysts, Reporters and Correspondents	
273021	Broadcast News Analysts	
273022	Reporters and Correspondents	
273031	Public Relations Specialists	
273040	Writers and Editors	
273041	Editors	
273042	Technical Writers	
273043	Writers and Authors	
273090	Miscellaneous Media and Communication Workers	
273091	Interpreters and Translators	
273099	Media and Communication Workers, All Other	
274000	Media and Communication Equipment Workers	
274010	Broadcast and Sound Engineering Technicians and Radio Operators	
274011	Audio and Video Equipment Technicians	
274012	Broadcast Technicians	
274013	Radio Operators	
274014	Sound Engineering Technicians	
274021	Photographers	
274030	Television, Video, and Motion Picture Camera Operators and Editors	
274031	Camera Operators, Television, Video, and Motion Picture	
274032	Film and Video Editors	
274099	Media and Communication Equipment Workers, All Other	
290000	Healthcare Practitioners and Technical Occupations	
291000	Health Diagnosing and Treating Practitioners	
291011	Chiropractors	
291020	Dentists	
291021	Dentists, General	
291022	Oral and Maxillofacial Surgeons	
291023	Orthodontists	
291024	Prosthodontists	
291029	Dentists, All Other Specialists	
291031	Dietitians and Nutritionists	
291041	Optometrists	
291051	Pharmacists	
291060	Physicians and Surgeons	
291061	Anesthesiologists	
291062	Family and General Practitioners	
291063	Internists, General	
291064	Obstetricians and Gynecologists	
291065	Pediatricians, General	
291066	Psychiatrists	
291067	Surgeons	
291069	Physicians and Surgeons, All Other	
291071	Physician Assistants	
291081	Podiatrists	
291120	Therapists	
291122	Occupational Therapists	
291123	Physical Therapists	
291124	Radiation Therapists	
291125	Recreational Therapists	
291126	Respiratory Therapists	
291127	Speech-Language Pathologists	
291128	Exercise Physiologists	
291129	Therapists, All Other	
291131	Veterinarians	
291141	Registered Nurses	
291151	Nurse Anesthetists	
291161	Nurse Midwives	
291171	Nurse Practitioners	
291181	Audiologists	
291199	Health Diagnosing and Treating Practitioners, All Other	
292000	Health Technologists and Technicians	
292010	Clinical Laboratory Technologists and Technicians	
292011	Medical and Clinical Laboratory Technologists	
292012	Medical and Clinical Laboratory Technicians	
292021	Dental Hygienists	
292030	Diagnostic Related Technologists and Technicians	
292031	Cardiovascular Technologists and Technicians	
292032	Diagnostic Medical Sonographers	
292033	Nuclear Medicine Technologists	
292034	Radiologic Technologists	
292035	Magnetic Resonance Imaging Technologists	
292041	Emergency Medical Technicians and Paramedics	
292050	Health Practitioner Support Technologists and Technicians	
292051	Dietetic Technicians	
292052	Pharmacy Technicians	
292053	Psychiatric Technicians	
292054	Respiratory Therapy Technicians	
292055	Surgical Technologists	
292056	Veterinary Technologists and Technicians	
292057	Ophthalmic Medical Technicians	
292061	Licensed Practical and Licensed Vocational Nurses	
292071	Medical Records and Health Information Technicians	
292081	Opticians, Dispensing	
292090	Miscellaneous Health Technologists and Technicians	
292091	Orthotists and Prosthetists	
292092	Hearing Aid Specialists	
292099	Health Technologists and Technicians, All Other	
299000	Other Healthcare Practitioners and Technical Occupations	
299010	Occupational Health and Safety Specialists and Technicians	
299011	Occupational Health and Safety Specialists	
299012	Occupational Health and Safety Technicians	
299090	Miscellaneous Health Practitioners and Technical Workers	
299091	Athletic Trainers	
299092	Genetic Counselors	
299099	Healthcare Practitioners and Technical Workers, All Other	
310000	Healthcare Support Occupations	
311010	Nursing, Psychiatric, and Home Health Aides	
311011	Home Health Aides	
311013	Psychiatric Aides	
311014	Nursing Assistants	
311015	Orderlies	
312000	Occupational Therapy and Physical Therapist Assistants and Aides	
312010	Occupational Therapy Assistants and Aides	
312011	Occupational Therapy Assistants	
312012	Occupational Therapy Aides	
312020	Physical Therapist Assistants and Aides	
312021	Physical Therapist Assistants	
312022	Physical Therapist Aides	
319000	Other Healthcare Support Occupations	
319011	Massage Therapists	
319090	Miscellaneous Healthcare Support Occupations	
319091	Dental Assistants	
319092	Medical Assistants	
319093	Medical Equipment Preparers	
319094	Medical Transcriptionists	
319095	Pharmacy Aides	
319096	Veterinary Assistants and Laboratory Animal Caretakers	
319097	Phlebotomists	
319099	Healthcare Support Workers, All Other	
330000	Protective Service Occupations	
331000	Supervisors of Protective Service Workers	
331010	First-Line Supervisors of Law Enforcement Workers	
331011	First-Line Supervisors of Correctional Officers	
331012	First-Line Supervisors of Police and Detectives	
331021	First-Line Supervisors of Fire Fighting and Prevention Workers	
331099	First-Line Supervisors of Protective Service Workers, All Other	
332000	Fire Fighting and Prevention Workers	
332011	Firefighters	
332020	Fire Inspectors	
332021	Fire Inspectors and Investigators	
332022	Forest Fire Inspectors and Prevention Specialists	
333000	Law Enforcement Workers	
333010	Bailiffs, Correctional Officers, and Jailers	
333011	Bailiffs	
333012	Correctional Officers and Jailers	
333021	Detectives and Criminal Investigators	
333031	Fish and Game Wardens	
333041	Parking Enforcement Workers	
333050	Police Officers	
333051	Police and Sheriff's Patrol Officers	
333052	Transit and Railroad Police	
339000	Other Protective Service Workers	
339011	Animal Control Workers	
339021	Private Detectives and Investigators	
339030	Security Guards and Gaming Surveillance Officers	
339031	Gaming Surveillance Officers and Gaming Investigators	
339032	Security Guards	
339090	Miscellaneous Protective Service Workers	
339091	Crossing Guards	
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	
339093	Transportation Security Screeners	
339099	Protective Service Workers, All Other	
350000	Food Preparation and Serving Related Occupations	
351010	Supervisors of Food Preparation and Serving Workers	
351011	Chefs and Head Cooks	
351012	First-Line Supervisors of Food Preparation and Serving Workers	
352000	Cooks and Food Preparation Workers	
352010	Cooks	
352011	Cooks, Fast Food	
352012	Cooks, Institution and Cafeteria	
352013	Cooks, Private Household	
352014	Cooks, Restaurant	
352015	Cooks, Short Order	
352019	Cooks, All Other	
352021	Food Preparation Workers	
353000	Food and Beverage Serving Workers	
353011	Bartenders	
353020	Fast Food and Counter Workers	
353021	Combined Food Preparation and Serving Workers, Including Fast Food	
353022	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	
353031	Waiters and Waitresses	
353041	Food Servers, Nonrestaurant	
359000	Other Food Preparation and Serving Related Workers	
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	
359021	Dishwashers	
359031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	
359099	Food Preparation and Serving Related Workers, All Other	
370000	Building and Grounds Cleaning and Maintenance Occupations	
371010	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	
371011	First-Line Supervisors of Housekeeping and Janitorial Workers	
371012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	
372000	Building Cleaning and Pest Control Workers	
372010	Building Cleaning Workers	
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	
372012	Maids and Housekeeping Cleaners	
372019	Building Cleaning Workers, All Other	
372021	Pest Control Workers	
373010	Grounds Maintenance Workers	
373011	Landscaping and Groundskeeping Workers	
373012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	
373013	Tree Trimmers and Pruners	
373019	Grounds Maintenance Workers, All Other	
390000	Personal Care and Service Occupations	
391000	Supervisors of Personal Care and Service Workers	
391010	First-Line Supervisors of Gaming Workers	
391011	Gaming Supervisors	
391012	Slot Supervisors	
391021	First-Line Supervisors of Personal Service Workers	
392000	Animal Care and Service Workers	
392011	Animal Trainers	
392021	Nonfarm Animal Caretakers	
393000	Entertainment Attendants and Related Workers	
393010	Gaming Services Workers	
393011	Gaming Dealers	
393012	Gaming and Sports Book Writers and Runners	
393019	Gaming Service Workers, All Other	
393021	Motion Picture Projectionists	
393031	Ushers, Lobby Attendants, and Ticket Takers	
393090	Miscellaneous Entertainment Attendants and Related Workers	
393091	Amusement and Recreation Attendants	
393092	Costume Attendants	
393093	Locker Room, Coatroom, and Dressing Room Attendants	
393099	Entertainment Attendants and Related Workers, All Other	
394000	Funeral Service Workers	
394011	Embalmers	
394021	Funeral Attendants	
394031	Morticians, Undertakers, and Funeral Directors	
395000	Personal Appearance Workers	
395010	Barbers, Hairdressers, Hairstylists and Cosmetologists	
395011	Barbers	
395012	Hairdressers, Hairstylists, and Cosmetologists	
395090	Miscellaneous Personal Appearance Workers	
395091	Makeup Artists, Theatrical and Performance	
395092	Manicurists and Pedicurists	
395093	Shampooers	
395094	Skincare Specialists	
396010	Baggage Porters, Bellhops, and Concierges	
396011	Baggage Porters and Bellhops	
396012	Concierges	
397010	Tour and Travel Guides	
397011	Tour Guides and Escorts	
397012	Travel Guides	
399000	Other Personal Care and Service Workers	
399011	Childcare Workers	
399021	Personal Care Aides	
399030	Recreation and Fitness Workers	
399031	Fitness Trainers and Aerobics Instructors	
399032	Recreation Workers	
399041	Residential Advisors	
399099	Personal Care and Service Workers, All Other	
410000	Sales and Related Occupations	
411010	First-Line Supervisors of Sales Workers	
411011	First-Line Supervisors of Retail Sales Workers	
411012	First-Line Supervisors of Non-Retail Sales Workers	
412000	Retail Sales Workers	
412010	Cashiers	
412011	Cashiers	
412012	Gaming Change Persons and Booth Cashiers	
412020	Counter and Rental Clerks and Parts Salespersons	
412021	Counter and Rental Clerks	
412022	Parts Salespersons	
412031	Retail Salespersons	
413000	Sales Representatives, Services	
413011	Advertising Sales Agents	
413021	Insurance Sales Agents	
413031	Securities, Commodities, and Financial Services Sales Agents	
413041	Travel Agents	
413099	Sales Representatives, Services, All Other	
414010	Sales Representatives, Wholesale and Manufacturing	
414011	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	
414012	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	
419000	Other Sales and Related Workers	
419010	Models, Demonstrators, and Product Promoters	
419011	Demonstrators and Product Promoters	
419012	Models	
419020	Real Estate Brokers and Sales Agents	
419021	Real Estate Brokers	
419022	Real Estate Sales Agents	
419031	Sales Engineers	
419041	Telemarketers	
419090	Miscellaneous Sales and Related Workers	
419091	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers	
419099	Sales and Related Workers, All Other	
430000	Office and Administrative Support Occupations	
431011	First-Line Supervisors of Office and Administrative Support Workers	
432000	Communications Equipment Operators	
432011	Switchboard Operators, Including Answering Service	
432021	Telephone Operators	
432099	Communications Equipment Operators, All Other	
433000	Financial Clerks	
433011	Bill and Account Collectors	
433021	Billing and Posting Clerks	
433031	Bookkeeping, Accounting, and Auditing Clerks	
433041	Gaming Cage Workers	
433051	Payroll and Timekeeping Clerks	
433061	Procurement Clerks	
433071	Tellers	
433099	Financial Clerks, All Other	
434000	Information and Record Clerks	
434011	Brokerage Clerks	
434021	Correspondence Clerks	
434031	Court, Municipal, and License Clerks	
434041	Credit Authorizers, Checkers, and Clerks	
434051	Customer Service Representatives	
434061	Eligibility Interviewers, Government Programs	
434071	File Clerks	
434081	Hotel, Motel, and Resort Desk Clerks	
434111	Interviewers, Except Eligibility and Loan	
434121	Library Assistants, Clerical	
434131	Loan Interviewers and Clerks	
434141	New Accounts Clerks	
434151	Order Clerks	
434161	Human Resources Assistants, Except Payroll and Timekeeping	
434171	Receptionists and Information Clerks	
434181	Reservation and Transportation Ticket Agents and Travel Clerks	
434199	Information and Record Clerks, All Other	
435000	Material Recording, Scheduling, Dispatching, and Distributing Workers	
435011	Cargo and Freight Agents	
435021	Couriers and Messengers	
435030	Dispatchers	
435031	Police, Fire, and Ambulance Dispatchers	
435032	Dispatchers, Except Police, Fire, and Ambulance	
435041	Meter Readers, Utilities	
435050	Postal Service Workers	
435051	Postal Service Clerks	
435052	Postal Service Mail Carriers	
435053	Postal Service Mail Sorters, Processors, and Processing Machine Operators	
435061	Production, Planning, and Expediting Clerks	
435071	Shipping, Receiving, and Traffic Clerks	
435081	Stock Clerks and Order Fillers	
435111	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	
436010	Secretaries and Administrative Assistants	
436011	Executive Secretaries and Executive Administrative Assistants	
436012	Legal Secretaries	
436013	Medical Secretaries	
436014	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	
439000	Other Office and Administrative Support Workers	
439011	Computer Operators	
439020	Data Entry and Information Processing Workers	
439021	Data Entry Keyers	
439022	Word Processors and Typists	
439031	Desktop Publishers	
439041	Insurance Claims and Policy Processing Clerks	
439051	Mail Clerks and Mail Machine Operators, Except Postal Service	
439061	Office Clerks, General	
439071	Office Machine Operators, Except Computer	
439081	Proofreaders and Copy Markers	
439111	Statistical Assistants	
439199	Office and Administrative Support Workers, All Other	
450000	Farming, Fishing, and Forestry Occupations	
451011	First-Line Supervisors of Farming, Fishing, and Forestry Workers	
452000	Agricultural Workers	
452011	Agricultural Inspectors	
452021	Animal Breeders	
452041	Graders and Sorters, Agricultural Products	
452090	Miscellaneous Agricultural Workers	
452091	Agricultural Equipment Operators	
452092	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	
452093	Farmworkers, Farm, Ranch, and Aquacultural Animals	
452099	Agricultural Workers, All Other	
453000	Fishing and Hunting Workers	
453011	Fishers and Related Fishing Workers	
454000	Forest, Conservation, and Logging Workers	
454011	Forest and Conservation Workers	
454020	Logging Workers	
454021	Fallers	
454022	Logging Equipment Operators	
454023	Log Graders and Scalers	
454029	Logging Workers, All Other	
470000	Construction and Extraction Occupations	
471011	First-Line Supervisors of Construction Trades and Extraction Workers	
472000	Construction Trades Workers	
472011	Boilermakers	
472020	Brickmasons, Blockmasons, and Stonemasons	
472021	Brickmasons and Blockmasons	
472022	Stonemasons	
472031	Carpenters	
472040	Carpet, Floor, and Tile Installers and Finishers	
472041	Carpet Installers	
472042	Floor Layers, Except Carpet, Wood, and Hard Tiles	
472043	Floor Sanders and Finishers	
472044	Tile and Marble Setters	
472050	Cement Masons, Concrete Finishers, and Terrazzo Workers	
472051	Cement Masons and Concrete Finishers	
472053	Terrazzo Workers and Finishers	
472061	Construction Laborers	
472070	Construction Equipment Operators	
472071	Paving, Surfacing, and Tamping Equipment Operators	
472072	Pile-Driver Operators	
472073	Operating Engineers and Other Construction Equipment Operators	
472080	Drywall Installers, Ceiling Tile Installers, and Tapers	
472081	Drywall and Ceiling Tile Installers	
472082	Tapers	
472111	Electricians	
472121	Glaziers	
472130	Insulation Workers	
472131	Insulation Workers, Floor, Ceiling, and Wall	
472132	Insulation Workers, Mechanical	
472140	Painters and Paperhangers	
472141	Painters, Construction and Maintenance	
472142	Paperhangers	
472150	Pipelayers, Plumbers, Pipefitters, and Steamfitters	
472151	Pipelayers	
472152	Plumbers, Pipefitters, and Steamfitters	
472161	Plasterers and Stucco Masons	
472171	Reinforcing Iron and Rebar Workers	
472181	Roofers	
472211	Sheet Metal Workers	
472221	Structural Iron and Steel Workers	
472231	Solar Photovoltaic Installers	
473010	Helpers, Construction Trades	
473011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	
473012	Helpers--Carpenters	
473013	Helpers--Electricians	
473014	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	
473015	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	
473016	Helpers--Roofers	
473019	Helpers, Construction Trades, All Other	
474000	Other Construction and Related Workers	
